track_id,name,artists,album,release_date,duration_ms,explicit,popularity,release_year,duration_min,categoria_duracao
2kOmW169C7UV4SZDN9u0YO,Vidrado Em Você,"Dj Guuga, Mc Livinho",Vidrado Em Você,2019-06-11,134769,False,0,2019,2.24615,curta
0wryAFpQqHTvhteQx7ZNp2,Edredom,"Vitão, Mc Davi",Edredom,2019-06-28,172700,False,45,2019,2.8783333333333334,curta
5yzYGjKIHJA4DNgDwBB8a7,Canção Infantil,"Pineapple StormTv, Cesar Mc",Canção Infantil,2019-06-28,401664,False,0,2019,6.6944,longa
4evmHXcjt3bTUHD1cvny97,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),2019-06-28,197866,False,73,2019,3.2977666666666665,média
1nqaSoiLuqevDes4S18sO7,Milu,Gusttavo Lima,Milu,2019-06-27,224997,False,61,2019,3.74995,média
1nVIlX3h3Ds9bH6JMQopIU,quando a bad bater - ao vivo,Luan Santana,quando a bad bater (ao vivo),2019-06-28,179722,False,58,2019,2.9953666666666665,curta
4NLfKIsRhP1cve1kcrYg40,Online,Gusttavo Lima,Online,2019-06-27,164053,False,18,2019,2.7342166666666667,curta
2bbFhnxYjeb9jYEX2MDKLQ,Uma nora pra cada dia,MC Kevinho,Uma nora pra cada dia,2019-06-28,131200,False,59,2019,2.1866666666666665,curta
1BeAxDuc9FbQNWvXWlO66W,AmarElo (Sample: Sujeito de Sorte - Belchior),"Emicida, Majur, Pabllo Vittar",AmarElo (Sample: Sujeito de Sorte - Belchior),2019-06-25,321493,False,43,2019,5.358216666666666,longa
6m1wf8PDHvXZjbI0Rrolup,Aham - Ao Vivo,Lucas Lucco,A Origem (Ao Vivo),2018-10-18,227061,False,42,2018,3.78435,média
6V43u5SCjkfMpxMAXRPifr,Sentou e Gostou,"MC JottaPê, MC M10, DJ RD",Sentou e Gostou,2019-07-01,163253,False,0,2019,2.7208833333333335,curta
7Gk5OrMYaMRtT2JmgJVAfk,Pupila,"ANAVITÓRIA, Vitor Kley",Pupila,2019-07-05,202287,False,72,2019,3.37145,média
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,Synchronicity (Remastered 2003),1983-06-17,253920,False,92,1983,4.232,longa
2FGhB10Gon36GgFcOTMQEW,Poesia Acústica #7: Céu Azul,"Pineapple StormTv, MC Hariel, Negra Li, Ducon, MC Kevin o Chris, Chris MC, Matuê, Dk 47, Vitão, Salve Malak",Poesia Acústica #7: Céu Azul,2019-07-06,572038,True,3,2019,9.533966666666666,muito longa
1lTsRXDMWFbsFjQGkbL5TX,Outro Dia,"A Banca Records, Lourena, Azzy, Mazin, Black",Outro Dia,2019-03-21,232524,False,0,2019,3.8754,média
6vBdBCoOhKHiYDDOcorfNo,Goodbyes (Feat. Young Thug),"Post Malone, Young Thug",Goodbyes (Feat. Young Thug),2019-07-05,174960,True,3,2019,2.916,curta
3NnW2EqJxvHYrRy3upaznl,Resenha lá em casa,"MC Kevin o Chris, POCAH",Resenha lá em casa,2019-07-05,236852,False,56,2019,3.9475333333333333,média
4oRI9c4EmcKo9kbgVM8zWP,Nem Tchum - Ao Vivo,Maiara & Maraisa,Reflexo - Deluxe (ao Vivo),2019-01-30,202474,False,55,2019,3.3745666666666665,média
3lEfEePgxGH2WwsB5fHC1K,Louquinho,Jão,Louquinho,2019-07-11,176556,False,50,2019,2.9426,curta
5uVgsAzjO6eJR06VPrqUga,Muito Calor,"Ozuna, Anitta",Muito Calor,2019-07-11,185146,False,50,2019,3.0857666666666668,média
0Fb8EGunEFldoQBZWJX2mk,Quase Amor,Maria Cecília & Rodolfo,Quase Amor,2019-03-22,161029,False,0,2019,2.6838166666666665,curta
0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),"Ed Sheeran & Justin Bieber, Justin Bieber",No.6 Collaborations Project,2019-07-12,219946,False,72,2019,3.665766666666667,média
1DhRbox3xkceP64k3JeYfW,Antisocial (with Travis Scott),"Ed Sheeran, Travis Scott",No.6 Collaborations Project,2019-07-12,161746,False,63,2019,2.6957666666666666,curta
5UozeQwsAUQ2D0o3dchDeS,O Pai Tá Livre,Jerry Smith,O Pai Tá Livre,2019-06-21,150670,False,0,2019,2.5111666666666665,curta
2PqPSf3gtTED79rWGwVtYg,Áudio - Ao Vivo em Brasília,Diego & Victor Hugo,Diego & Victor Hugo Ao Vivo em Brasília - EP1,2019-03-22,190244,False,0,2019,3.170733333333333,média
4vUmTMuQqjdnvlZmAH61Qk,South of the Border (feat. Camila Cabello & Cardi B),"Ed Sheeran, Camila Cabello, Cardi B",No.6 Collaborations Project,2019-07-12,204466,False,74,2019,3.407766666666667,média
3yNZ5r3LKfdmjoS3gkhUCT,bad guy (with Justin Bieber),"Billie Eilish, Justin Bieber",bad guy (with Justin Bieber),2019-07-11,194839,False,65,2019,3.247316666666667,média
1U3tv41tFRgOfbytpuYQrR,Ferida Curada,Zé Neto & Cristiano,Ferida Curada,2019-07-19,159164,False,67,2019,2.6527333333333334,curta
1zI3RU0boCVsAXChjCvESu,Até que enfim - Ao vivo,Ferrugem,Chão de estrelas (Ao vivo),2019-07-19,224181,False,66,2019,3.73635,média
