track_id,name,artists,album,release_date,duration_ms,explicit,popularity,preview_url,spotify_url
4y4spB9m0Q6026KfkAvy9Q,Lonely (with benny blanco),"Justin Bieber, benny blanco",Lonely (with benny blanco),2020-10-16,149297,True,69,,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
7igeByaBM0MgGsgXtNxDJ7,positions,Ariana Grande,positions,2020-10-23,172324,True,2,,https://open.spotify.com/track/7igeByaBM0MgGsgXtNxDJ7
2W0VenqvlMW4c65YsxT5zu,Morena,"MC Paulin da Capital, Dj GM",Morena,2020-09-17,197052,False,52,,https://open.spotify.com/track/2W0VenqvlMW4c65YsxT5zu
2bWkoJEjcPiBKnKqvTJ25D,Eu Tenho Medo,Zé Vaqueiro,O Original,2020-10-01,216835,False,0,,https://open.spotify.com/track/2bWkoJEjcPiBKnKqvTJ25D
62tcTmWpOcqFfZNWrheU1T,Senta Concentrada (feat. MC WS),"MC Mari, MC WS",Senta Concentrada (feat. MC WS),2020-09-14,206146,True,0,,https://open.spotify.com/track/62tcTmWpOcqFfZNWrheU1T
2enk2whIgJyoe0O9HRQZJV,Seu Beijo Joga Sujo,"Avine Vinny, Jorge",Seu Beijo Joga Sujo,2020-10-22,193424,False,44,,https://open.spotify.com/track/2enk2whIgJyoe0O9HRQZJV
2LfRxbEQMsqzkU1VpsuZrn,A Tua Voz,Gloria Groove,A Tua Voz,2020-10-22,195245,False,0,,https://open.spotify.com/track/2LfRxbEQMsqzkU1VpsuZrn
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,2020-07-03,160000,True,79,,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
3Q9kpI6s9Yvi45xdOnqTNV,Forró no Interior,Zé Vaqueiro,O Original,2020-10-01,167683,False,0,,https://open.spotify.com/track/3Q9kpI6s9Yvi45xdOnqTNV
0AUvWawuP0ibk4SQ3sIZjk,Daisy,Ashnikko,Daisy,2020-07-09,146523,True,65,,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
4VfG3ntsNSyNr7lPZZyvTE,Tudo que Eu Queria - Ao Vivo,Gusttavo Lima,Tudo que Eu Queria (Ao Vivo),2020-10-22,178688,False,0,,https://open.spotify.com/track/4VfG3ntsNSyNr7lPZZyvTE
6juLaduD4STCUDWT0AYun4,MORE,"K/DA, Madison Beer, i-dle, Lexie Liu, Jaira Burns, Seraphine, League of Legends",MORE,2020-10-28,217088,False,68,,https://open.spotify.com/track/6juLaduD4STCUDWT0AYun4
4a5YIaK7qFu6T63GeYx1Ih,Quase uma Semana,"BIN, Borges, L7NNON, Ajaxx",Para todas as mulheres que já rimei,2020-09-30,259672,False,0,,https://open.spotify.com/track/4a5YIaK7qFu6T63GeYx1Ih
6u7gmPOz7pzzaeR9xSBpsR,my hair,Ariana Grande,Positions,2020-10-30,158436,False,63,,https://open.spotify.com/track/6u7gmPOz7pzzaeR9xSBpsR
1WTJdd2atKxhUrbvUHjNDt,Segunda Taça - Ao Vivo,"João Bosco & Vinicius, Matheus",Ao Vivo em Goiânia,2020-11-04,180346,False,1,,https://open.spotify.com/track/1WTJdd2atKxhUrbvUHjNDt
6Im9k8u9iIzKMrmV7BWtlF,34+35,Ariana Grande,Positions,2020-10-30,173710,True,78,,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
7E1jVNoWuemqUryI4FxsVD,off the table (with The Weeknd),"Ariana Grande, The Weeknd",Positions,2020-10-30,239949,False,65,,https://open.spotify.com/track/7E1jVNoWuemqUryI4FxsVD
3ko9jEHNt4O5fjKN65ULJp,shut up,Ariana Grande,Positions,2020-10-30,157710,True,60,,https://open.spotify.com/track/3ko9jEHNt4O5fjKN65ULJp
3UoULw70kMsiVXxW0L3A33,pov,Ariana Grande,Positions,2020-10-30,201882,False,76,,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
7Kb4TOsH22ZLrBkZx1p0SZ,Confidencial,Wesley Safadão,Confidencial,2020-10-29,171379,False,0,,https://open.spotify.com/track/7Kb4TOsH22ZLrBkZx1p0SZ
14gkWVFMwdxBMyqBw1wmIg,safety net (feat. Ty Dolla $ign),"Ariana Grande, Ty Dolla $ign",Positions,2020-10-30,208457,False,70,,https://open.spotify.com/track/14gkWVFMwdxBMyqBw1wmIg
6ZxjdTDNU6pf8iklkeAB9y,Senta Concentrada,MC WS,E o Ritmo Pancadeira,2020-09-18,207909,False,0,,https://open.spotify.com/track/6ZxjdTDNU6pf8iklkeAB9y
45S5WTQEGOB1VHr1Q4FuPl,Golden,Harry Styles,Fine Line,2019-12-13,208906,False,78,,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande,Positions,2020-10-30,172324,True,80,,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
1FM9CNCjobC3LSNEEKuPkd,Amor de Rapariga,"Raí Saia Rodada, Tony Guerra & Forró Sacode",Saudade Braba,2020-06-26,168658,False,46,,https://open.spotify.com/track/1FM9CNCjobC3LSNEEKuPkd
0sci7ppTZFm4mjcH3nu8yO,nasty,Ariana Grande,Positions,2020-10-30,200732,True,68,,https://open.spotify.com/track/0sci7ppTZFm4mjcH3nu8yO
3mP7qouEZRIpGsJ5cL4yBE,Bebi Minha Bicicleta (Ao Vivo),Zé Neto & Cristiano,Bebi Minha Bicicleta (Ao Vivo),2020-05-29,180395,True,0,,https://open.spotify.com/track/3mP7qouEZRIpGsJ5cL4yBE
5gxafAUHcggnZd6Vn4csDS,Quem me Colocou pra Beber - Ao Vivo,Os Barões Da Pisadinha,DVD Novo dos Barões da Pisadinha Ao Vivo,2020-10-15,146509,False,42,,https://open.spotify.com/track/5gxafAUHcggnZd6Vn4csDS
7Dx9Z6Aon1qPS2N0rHSWTe,just like magic,Ariana Grande,Positions,2020-10-30,149900,True,67,,https://open.spotify.com/track/7Dx9Z6Aon1qPS2N0rHSWTe
566AZpR4FJErkhS3CmuaWu,Set 2.0: Homenagem aos Relíquias,"DJ Matt D, Leozinho ZS, MC Vinny, Menor MC, MC Julio D.E.R., MC Lemos, Drika, Mc Livinho, Mc Diouro",Set 2.0: Homenagem aos Relíquias,2020-10-23,456180,True,49,,https://open.spotify.com/track/566AZpR4FJErkhS3CmuaWu
6hMgrcA1OpqYBDPyzYcosI,Letícia,Zé Vaqueiro,O Original,2020-10-01,167683,False,0,,https://open.spotify.com/track/6hMgrcA1OpqYBDPyzYcosI
5GkQIP5mWPi4KZLLXeuFTT,motive (with Doja Cat),"Ariana Grande, Doja Cat",Positions,2020-10-30,167989,True,74,,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
5Taf5Hg5m31VoFXLplRAmn,Sua Mãe Tá Nessa - Ao Vivo Em São Paulo / 2019,Lauana Prado,Sua Mãe Tá Nessa (Ao Vivo),2020-10-15,164544,False,0,,https://open.spotify.com/track/5Taf5Hg5m31VoFXLplRAmn
1erfWPemd1Vg5aQYQpW1Pm,Inamorável,Luíza & Maurílio,Inamorável,2020-08-28,170314,False,36,,https://open.spotify.com/track/1erfWPemd1Vg5aQYQpW1Pm
7lJoRyuNJtuiqTcKtuMuIR,Maçã Verde,"MC Hariel, Caio Passos",Avisa que é o Funk,2020-10-09,164307,True,68,,https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR
774NkezhwRr3kvYd3IQvFj,Amor de Balada,"MC Kekel, Mc Don Juan",Amor de Balada,2020-11-06,182769,False,23,,https://open.spotify.com/track/774NkezhwRr3kvYd3IQvFj
4KLvGldnzUZU4xdELyWBom,Barzinho Aleatório - Ao Vivo,Zé Neto & Cristiano,Por Mais Beijos Ao Vivo,2020-03-26,158969,False,53,,https://open.spotify.com/track/4KLvGldnzUZU4xdELyWBom
74mtYZvn0rZm4EKrQwmOoX,Tô Torcendo - Ao Vivo,Gusttavo Lima,Tô Torcendo (Ao Vivo),2020-11-05,165733,False,0,,https://open.spotify.com/track/74mtYZvn0rZm4EKrQwmOoX
7gFY0xf385HM4iF4t43tN3,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Zé Neto & Cristiano,Por Mais Beijos Ao Vivo,2020-03-26,181670,False,49,,https://open.spotify.com/track/7gFY0xf385HM4iF4t43tN3
